,Año,Trimestre,Provincia,Accesos por cada 100 hogares
648,2015,4,Buenos Aires,5829
649,2015,4,Capital Federal,11813
650,2015,4,Catamarca,2624
651,2015,4,Chaco,2835
652,2015,4,Chubut,3689
653,2015,4,Córdoba,5736
654,2015,4,Corrientes,3034
655,2015,4,Entre Ríos,4411
656,2015,4,Formosa,1907
657,2015,4,Jujuy,2147
658,2015,4,La Pampa,5876
659,2015,4,La Rioja,1732
660,2015,4,Mendoza,3249
661,2015,4,Misiones,2869
662,2015,4,Neuquén,5829
663,2015,4,Río Negro,4644
664,2015,4,Salta,3159
665,2015,4,San Juan,2766
666,2015,4,San Luis,971
667,2015,4,Santa Cruz,2774
668,2015,4,Santa Fe,5261
669,2015,4,Santiago Del Estero,17
670,2015,4,Tierra Del Fuego,6646
671,2015,4,Tucumán,3706
672,2015,3,Buenos Aires,5769
673,2015,3,Capital Federal,11829
674,2015,3,Catamarca,2586
675,2015,3,Chaco,2796
676,2015,3,Chubut,3681
677,2015,3,Córdoba,5708
678,2015,3,Corrientes,3017
679,2015,3,Entre Ríos,4368
680,2015,3,Formosa,1884
681,2015,3,Jujuy,2127
682,2015,3,La Pampa,5796
683,2015,3,La Rioja,1715
684,2015,3,Mendoza,3249
685,2015,3,Misiones,2831
686,2015,3,Neuquén,546
687,2015,3,Río Negro,4639
688,2015,3,Salta,3118
689,2015,3,San Juan,2767
690,2015,3,San Luis,971
691,2015,3,Santa Cruz,2761
692,2015,3,Santa Fe,5215
693,2015,3,Santiago Del Estero,1712
694,2015,3,Tierra Del Fuego,7486
695,2015,3,Tucumán,3661
696,2015,2,Buenos Aires,568
697,2015,2,Capital Federal,11607
698,2015,2,Catamarca,2545
699,2015,2,Chaco,2746
700,2015,2,Chubut,3658
701,2015,2,Córdoba,5587
702,2015,2,Corrientes,2958
703,2015,2,Entre Ríos,4293
704,2015,2,Formosa,1836
705,2015,2,Jujuy,2029
706,2015,2,La Pampa,5671
707,2015,2,La Rioja,1688
708,2015,2,Mendoza,3249
709,2015,2,Misiones,2735
710,2015,2,Neuquén,5312
711,2015,2,Río Negro,4598
712,2015,2,Salta,3046
713,2015,2,San Juan,2764
714,2015,2,San Luis,971
715,2015,2,Santa Cruz,2707
716,2015,2,Santa Fe,5118
717,2015,2,Santiago Del Estero,1711
718,2015,2,Tierra Del Fuego,7451
719,2015,2,Tucumán,3569
720,2015,1,Buenos Aires,5637
721,2015,1,Capital Federal,1149
722,2015,1,Catamarca,2511
723,2015,1,Chaco,2665
724,2015,1,Chubut,3761
725,2015,1,Córdoba,547
726,2015,1,Corrientes,2895
727,2015,1,Entre Ríos,4207
728,2015,1,Formosa,1812
729,2015,1,Jujuy,1969
730,2015,1,La Pampa,5551
731,2015,1,La Rioja,167
732,2015,1,Mendoza,3237
733,2015,1,Misiones,2631
734,2015,1,Neuquén,5195
735,2015,1,Río Negro,4533
736,2015,1,Salta,3001
737,2015,1,San Juan,2755
738,2015,1,San Luis,972
739,2015,1,Santa Cruz,2799
740,2015,1,Santa Fe,5024
741,2015,1,Santiago Del Estero,1706
742,2015,1,Tierra Del Fuego,7423
743,2015,1,Tucumán,3508
744,2014,4,Buenos Aires,5609
745,2014,4,Capital Federal,1149
746,2014,4,Catamarca,2551
747,2014,4,Chaco,2187
748,2014,4,Chubut,4025
749,2014,4,Córdoba,547
750,2014,4,Corrientes,2356
751,2014,4,Entre Ríos,3603
752,2014,4,Formosa,1796
753,2014,4,Jujuy,196
754,2014,4,La Pampa,5127
755,2014,4,La Rioja,1701
756,2014,4,Mendoza,3264
757,2014,4,Misiones,2416
758,2014,4,Neuquén,5255
759,2014,4,Río Negro,4548
760,2014,4,Salta,2953
761,2014,4,San Juan,2804
762,2014,4,San Luis,979
763,2014,4,Santa Cruz,278
764,2014,4,Santa Fe,50
765,2014,4,Santiago Del Estero,1727
766,2014,4,Tierra Del Fuego,6614
767,2014,4,Tucumán,3532
768,2014,3,Buenos Aires,5675
769,2014,3,Capital Federal,1138
770,2014,3,Catamarca,2471
771,2014,3,Chaco,2111
772,2014,3,Chubut,406
773,2014,3,Córdoba,5423
774,2014,3,Corrientes,2279
775,2014,3,Entre Ríos,3498
776,2014,3,Formosa,1777
777,2014,3,Jujuy,1837
778,2014,3,La Pampa,5578
779,2014,3,La Rioja,1651
780,2014,3,Mendoza,3231
781,2014,3,Misiones,2357
782,2014,3,Neuquén,564
783,2014,3,Río Negro,462
784,2014,3,Salta,2922
785,2014,3,San Juan,2785
786,2014,3,San Luis,971
787,2014,3,Santa Cruz,2823
788,2014,3,Santa Fe,492
789,2014,3,Santiago Del Estero,1649
790,2014,3,Tierra Del Fuego,6569
791,2014,3,Tucumán,3394
792,2014,2,Buenos Aires,5506
793,2014,2,Capital Federal,11314
794,2014,2,Catamarca,247
795,2014,2,Chaco,2096
796,2014,2,Chubut,4141
797,2014,2,Córdoba,5345
798,2014,2,Corrientes,2258
799,2014,2,Entre Ríos,3469
800,2014,2,Formosa,1754
801,2014,2,Jujuy,1871
802,2014,2,La Pampa,4971
803,2014,2,La Rioja,165
804,2014,2,Mendoza,321
805,2014,2,Misiones,2337
806,2014,2,Neuquén,5084
807,2014,2,Río Negro,4533
808,2014,2,Salta,2891
809,2014,2,San Juan,2778
810,2014,2,San Luis,972
811,2014,2,Santa Cruz,2938
812,2014,2,Santa Fe,4839
813,2014,2,Santiago Del Estero,167
814,2014,2,Tierra Del Fuego,6436
815,2014,2,Tucumán,3394
816,2014,1,Buenos Aires,5457
817,2014,1,Capital Federal,11225
818,2014,1,Catamarca,2425
819,2014,1,Chaco,2072
820,2014,1,Chubut,4124
821,2014,1,Córdoba,5252
822,2014,1,Corrientes,2232
823,2014,1,Entre Ríos,3437
824,2014,1,Formosa,1742
825,2014,1,Jujuy,1842
826,2014,1,La Pampa,4843
827,2014,1,La Rioja,1629
828,2014,1,Mendoza,3191
829,2014,1,Misiones,2314
830,2014,1,Neuquén,4979
831,2014,1,Río Negro,4491
832,2014,1,Salta,287
833,2014,1,San Juan,276
834,2014,1,San Luis,935
835,2014,1,Santa Cruz,2894
836,2014,1,Santa Fe,4785
837,2014,1,Santiago Del Estero,1631
838,2014,1,Tierra Del Fuego,6397
839,2014,1,Tucumán,3342
