,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
290,2019,3,Catamarca,24349.0,5543.0,13.0,2440,2251,32400.0
291,2019,3,Chaco,50416.0,49156.0,8063.0,5224,1592,114451.0
292,2019,3,Chubut,37298.0,27090.0,1917.0,15149,7551,89005.0
293,2019,3,Córdoba,307780.0,399231.0,30064.0,37277,8701,783053.0
294,2019,3,Corrientes,53344.0,50230.0,1888.0,2458,4839,112759.0
295,2019,3,Entre Ríos,94947.0,96305.0,12888.0,1853,15432,238102.0
296,2019,3,Formosa,21777.0,8359.0,1476.0,14292,1620,46066.0
297,2019,3,Jujuy,33110.0,35742.0,274.0,8120,16638,86576.0
298,2019,3,La Pampa,19469.0,52941.0,4994.0,11462,1962,90828.0
299,2019,3,La Rioja,14390.0,34984.0,11.0,2510,410,49677.0
300,2019,3,Mendoza,148640.0,54312.0,6865.0,12975,1545,224337.0
301,2019,3,Misiones,54493.0,65872.0,829.0,4190,1227,133883.0
302,2019,3,Neuquén,43347.0,60484.0,5560.0,13512,2518,125421.0
303,2019,3,Río Negro,67478.0,37425.0,9739.0,10806,18847,144295.0
304,2019,3,Salta,65799.0,74329.0,733.0,158,9394,151835.0
305,2019,3,San Juan,51670.0,7425.0,1227.0,7241,5535,73098.0
306,2019,3,San Luis,13037.0,10561.0,350.0,62286,36466,122700.0
307,2019,3,Santa Cruz,10663.0,17056.0,969.0,6544,2738,37970.0
308,2019,3,Santa Fe,319396.0,377171.0,18690.0,24269,21408,760934.0
309,2019,3,Santiago Del Estero,24556.0,71198.0,219.0,2759,344,133132.0
310,2019,3,Tierra Del Fuego,19790.0,26659.0,651.0,0,1487,48587.0
311,2019,3,Tucumán,150918.0,12089.0,116.0,6840,3240,164131.0
312,2019,2,Buenos Aires,1284658.0,2079900.0,382971.0,7524,32929,3855698.0
313,2019,2,Capital Federal,309937.0,1061358.0,36082.0,3962,4281,1415620.0
314,2019,2,Catamarca,25682.0,5543.0,13.0,1460,2251,33635.0
315,2019,2,Chaco,50765.0,47448.0,4203.0,4727,1591,108734.0
316,2019,2,Chubut,37313.0,26338.0,1917.0,14443,7545,87556.0
317,2019,2,Córdoba,314768.0,388254.0,23023.0,33847,15236,775128.0
318,2019,2,Corrientes,53835.0,47431.0,1701.0,2444,6138,111549.0
319,2019,2,Entre Ríos,97081.0,91081.0,12764.0,17369,17529,235824.0
320,2019,2,Formosa,21916.0,8686.0,1382.0,14292,1620,46438.0
321,2019,2,Jujuy,33022.0,30742.0,274.0,8120,21857,86707.0
322,2019,2,La Pampa,19471.0,52101.0,4840.0,10789,3004,90205.0
323,2019,2,La Rioja,15014.0,34984.0,11.0,2510,410,50301.0
324,2019,2,Mendoza,148673.0,54027.0,6865.0,12748,1544,223857.0
325,2019,2,Misiones,55373.0,64272.0,543.0,4210,12269,132878.0
326,2019,2,Neuquén,43420.0,59021.0,4983.0,12792,2737,122953.0
327,2019,2,Río Negro,67841.0,36527.0,4037.0,10485,19657,138547.0
328,2019,2,Salta,68827.0,62343.0,725.0,121,9463,142568.0
329,2019,2,San Juan,51680.0,7425.0,1174.0,287,6876,70025.0
330,2019,2,San Luis,11130.0,10298.0,347.0,57242,38368,117385.0
331,2019,2,Santa Cruz,10665.0,10257.0,379.0,6514,2735,30550.0
332,2019,2,Santa Fe,325420.0,355140.0,18236.0,2198,22708,743484.0
333,2019,2,Santiago Del Estero,24393.0,64783.0,219.0,2759,346,126754.0
334,2019,2,Tierra Del Fuego,19790.0,25527.0,651.0,0,1486,47454.0
335,2019,2,Tucumán,153121.0,12089.0,116.0,6840,3210,166331.0
336,2019,1,Buenos Aires,1304507.0,2020730.0,336362.0,64867,20201,3746667.0
337,2019,1,Capital Federal,328246.0,1030814.0,32281.0,3978,4281,1399600.0
338,2019,1,Catamarca,26912.0,4443.0,16.0,0,2251,33622.0
339,2019,1,Chaco,53409.0,43555.0,1951.0,3628,1134,103677.0
340,2019,1,Chubut,37302.0,23065.0,1923.0,14443,3045,79778.0
341,2019,1,Córdoba,323272.0,363959.0,19902.0,24615,12367,744115.0
342,2019,1,Corrientes,55842.0,43444.0,1615.0,1528,580,102487.0
343,2019,1,Entre Ríos,100999.0,90253.0,12723.0,16231,12241,232447.0
344,2019,1,Formosa,22570.0,7878.0,940.0,13761,620,45211.0
345,2019,1,Jujuy,33248.0,12484.0,153.0,6400,43622,90147.0
346,2019,1,La Pampa,18832.0,57373.0,2891.0,9023,1041,89160.0
347,2019,1,La Rioja,16367.0,34984.0,12.0,2520,410,51656.0
348,2019,1,Mendoza,148524.0,40205.0,5662.0,10363,1544,206298.0
349,2019,1,Misiones,54898.0,59214.0,465.0,4260,7717,122720.0
