Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2015,4,Chaco,9,33.67,103362,86836,10396,364,5766,794,2975,90819
2015,4,Chubut,19.43,63.37,110994,93247,11164,391,6192,1214,3967,68847
2015,4,Córdoba,20.13,65.75,721431,606084,72561,2543,40243,2787,9111,994334
2015,4,Corrientes,10.01,38.03,107615,90409,10824,379,6003,882,3352,94401
2015,4,Entre Ríos,17.24,57.67,228781,192202,23011,806,12762,1169,3912,154461
2015,4,Formosa,7.15,28.08,41567,3492,4181,147,2319,801,3148,46385
2015,4,Jujuy,7.79,30.45,56957,4785,5729,201,3177,119,4657,86586
2015,4,La Pampa,23.15,70.27,79736,66987,802,281,4448,2541,7717,8716
2015,4,La Rioja,10.43,39.17,38574,32406,388,136,2152,684,2572,25151
2015,4,Mendoza,19.06,68.31,36116,303416,36325,1273,20146,62,2223,116883
2015,4,Misiones,9.35,34.31,111733,93868,11238,394,6233,1002,3683,119199
2015,4,Neuquén,17.37,58.34,108302,90986,10893,382,6041,1793,6029,111106
2015,4,Río Negro,19.22,62.47,135095,113495,13588,476,7536,809,2633,5655
2015,4,Salta,10.52,43.45,141131,118566,14195,497,7873,1297,5361,172954
2015,4,San Juan,14.06,55.19,104387,87697,10499,368,5823,599,2352,44239
2015,4,San Luis,11.07,38.67,53012,44536,5332,187,2957,1145,4004,54524
2015,4,Santa Cruz,16.32,54.85,52927,44465,5323,187,2952,1716,5780,55004
2015,4,Santa Fe,22.24,70.73,758242,637008,76264,2673,42297,1806,5746,613513
2015,4,Santiago del Estero,7.35,29.62,68531,57573,6893,242,3823,1077,4342,99921
2015,4,Tierra del Fuego,23.06,77.77,35528,29848,3573,125,1982,2474,8362,37687
2015,4,Tucumán,13.35,53.87,213717,179546,21496,753,11922,786,3176,1252
2016,1,Buenos Aires,29.04,91.2,4872542,4259081,343205,18007,252249,1486,4877,2503121
2016,1,Capital Federal,52.62,123.37,1608800,1406249,113318,5946,83287,2354,6198,720018
2016,1,Catamarca,9.68,38.05,38665,33797,2723,143,2002,729,2868,29207
2016,1,Chaco,8.86,33.16,102077,89226,719,377,5284,791,2961,91403
2016,1,Chubut,21.36,69.67,122592,107157,8635,453,6347,1182,3861,68242
2016,1,Córdoba,19.56,63.87,702744,614267,49499,2597,36381,277,9054,998906
2016,1,Corrientes,9.47,35.97,102049,89201,7188,377,5283,855,3250,92425
2016,1,Entre Ríos,16.77,56.1,223126,195034,15716,825,11551,1156,3869,154253
2016,1,Formosa,7.06,27.73,41139,35959,2898,152,213,793,3118,4637
